,0
0,FLASH_MEMORY
1,HEADPHONES
2,DISHWARE_BOWL
3,SHAVING_AGENT
4,COMPUTER_PROCESSOR
5,COMPUTER_ADD_ON
6,AMAZON_TABLET
7,APPAREL_BELT
8,PORTABLE_ELECTRONIC_DEVICE_STAND
9,IMMERSION_HEATER
10,BODY_LUBRICANT
11,INPUT_MOUSE
12,CELLULAR_PHONE_CASE
13,BODY_POSITIONER
14,HANDBAG
15,UNDERPANTS
16,TAPE_MEASURE
17,AMAZON_TABLET_ACCESSORY
18,COMPUTER_DRIVE_OR_STORAGE
19,TOOTH_CLEANING_AGENT
20,TOILET_PAPER
21,MOUTHWASH
22,ELECTRONIC_CABLE
23,SCREWDRIVER
24,GIFT_CARD
25,EDIBLE_OIL_VEGETABLE
26,SIM_CARD
27,BED_FRAME
28,HERB
29,MEAT
30,DAIRY_BASED_BUTTER
31,DAIRY_BASED_CHEESE
32,JERKY
33,SEXUAL_STIMULATION_DEVICE
34,FILE_FOLDER
35,SCREEN_PROTECTOR
36,PORTABLE_ELECTRONIC_DEVICE_COVER
37,MEMORY_CARD_READER
38,STORAGE_BAG
39,INKJET_PRINTER_INK
40,CHAIR
41,CONSUMER_ELECTRONICS
42,CELLULAR_PHONE
43,VIDEO_GAME_CONSOLE
44,FLAT_SCREEN_DISPLAY_MOUNT
45,GROCERY
46,FOOD
47,POULTRY
48,JUICE_AND_JUICE_DRINK
49,WIRELESS_ACCESSORY
50,SUGAR_SUBSTITUTE
51,PET_FOOD
52,TOWEL
53,TIMER
54,WRIST_REST
55,HEALTH_PERSONAL_CARE
56,CULINARY_SALT
57,SKIN_CLEANING_WIPE
58,SANITARY_NAPKIN
59,SKIN_CLEANING_AGENT
60,SHAMPOO
61,BEAUTY
62,BATHWATER_ADDITIVE
63,SNACK_CHIP_AND_CRISP
64,SURFACE_CLEANING_WIPE
65,FACIAL_TISSUE
66,SAUCE
67,CONDITIONER
68,ABIS_BOOK
69,PANTS
70,PLUMBING_FIXTURE
71,ELECTRONIC_ADAPTER
72,ITEM_STAND
73,COSMETIC_CASE
74,PET_SUPPLIES
75,LIP_BALM
76,EYEBROW_COLOR
77,LOCK
78,LAMP
79,FURNITURE_COVER
80,TOY_FIGURE
81,GUILD_BEAUTY_GROOMING
82,POPCORN
83,SALAD_DRESSING
84,TEA
85,CEREAL
86,CRACKER
87,COOKIE
88,DRINK_FLAVORED
89,TOOTHBRUSH
90,FOOD_STORAGE_BAG
91,PAPER_TOWEL
92,BAKING_MIX
93,PROFESSIONAL_HEALTHCARE
94,PLANT_SEED
95,SWEATSHIRT
96,PEST_CONTROL_DEVICE
97,TOYS_AND_GAMES
98,INSECT_REPELLENT
99,CHARGING_ADAPTER
100,HERBAL_SUPPLEMENT
101,HAT
102,TIGHTS
103,COAT
104,NOTEBOOK_COMPUTER
105,HAIR_BRUSH
